om,yr,mo,dy,date,time,tz,st,stf,mag,inj,fat,loss,closs,slon,slat,elon,elat,len,wid,kind,marker_col,Year,coords.x1,coords.x2
272481,2011,1,1,2011-01-01,00:02:00,3,MS,28,3,2,0,3,2,-89.8123,33.0394,-89.47,33.2213,23.45,1300,Tornado,#FFAA00,2011,-89.8123,33.0394
272666,2011,1,1,2011-01-01,00:40:00,3,MS,28,1,0,0,0.065,0,-89.2957,33.2625,-89.2856,33.2651,0.61,75,Tornado,#0000FF,2011,-89.2957,33.2625
272674,2011,1,1,2011-01-01,00:46:00,3,MS,28,1,0,0,0.02,0,-89.24,33.2839,-89.1271,33.2842,6.52,75,Tornado,#0000FF,2011,-89.24,33.2839
272701,2011,1,1,2011-01-01,01:15:00,3,MS,28,1,0,0,3,0,-88.8419,33.4386,-88.8205,33.4438,1.29,250,Tornado,#0000FF,2011,-88.8419,33.4386
272715,2011,1,1,2011-01-01,02:00:00,3,MS,28,2,0,0,0.8,0,-88.7666,32.9012,-88.671,32.9368,6.07,860,Tornado,#008000,2011,-88.7666,32.9012
272720,2011,1,1,2011-01-01,02:25:00,3,MS,28,3,1,0,1.5,0,-88.464,33.0609,-88.3345,33.1484,9.63,1330,Tornado,#FFAA00,2011,-88.464,33.0609
272723,2011,1,1,2011-01-01,02:56:00,3,MS,28,1,0,0,0.11,0,-88.8355,32.6646,-88.6743,32.7495,11.06,440,Tornado,#0000FF,2011,-88.8355,32.6646
278829,2011,1,9,2011-01-09,03:25:00,3,TX,48,1,0,0,5.01,0,-97.9663,27.7107,-97.6231,27.8537,23.3,200,Tornado,#0000FF,2011,-97.9663,27.7107
268346,2011,1,17,2011-01-17,10:03:00,3,FL,12,0,0,0,0,0,-80.865,28.49,-80.865,28.49,0.05,20,Tornado,#888888,2011,-80.865,28.49
280736,2011,1,25,2011-01-25,15:35:00,3,FL,12,0,0,0,0,0,-82.032,28.873,-82.024,28.884,0.9,30,Tornado,#888888,2011,-82.032,28.873
